iter	Passed	Remaining
0	6	6187
1	14	7293
2	20	6695
3	27	6724
4	34	6817
5	40	6752
6	49	6952
7	56	7047
8	64	7084
9	72	7138
10	79	7192
11	86	7094
12	91	6973
13	101	7158
14	107	7044
15	115	7122
16	121	7039
17	132	7237
18	139	7186
19	147	7224
20	153	7137
21	161	7182
22	167	7101
23	173	7063
24	181	7060
25	187	7019
26	196	7082
27	202	7041
28	210	7056
29	216	7015
30	223	6973
31	230	6979
32	236	6921
33	244	6937
34	250	6902
35	256	6880
36	264	6874
37	271	6877
38	280	6901
39	286	6872
40	296	6931
41	302	6902
42	310	6907
43	316	6882
44	322	6847
45	331	6866
46	338	6865
47	346	6868
48	351	6831
49	359	6830
50	365	6807
51	372	6784
52	380	6793
53	385	6753
54	396	6810
55	402	6785
56	409	6779
57	415	6753
58	423	6759
59	429	6729
60	435	6703
61	442	6700
62	449	6680
63	456	6676
64	462	6655
65	469	6646
66	479	6672
67	486	6666
68	495	6685
69	500	6654
70	510	6678
71	516	6654
72	524	6657
73	529	6631
74	536	6613
75	543	6610
76	549	6585
77	557	6585
78	563	6565
79	568	6541
80	576	6540
81	582	6521
82	590	6526
83	596	6503
84	603	6493
85	610	6488
86	616	6465
87	623	6465
88	629	6445
89	637	6445
90	642	6420
91	648	6403
92	656	6398
93	662	6385
94	667	6360
95	673	6346
96	681	6343
97	690	6353
98	696	6334
99	704	6340
100	710	6323
101	717	6319
102	726	6325
103	735	6332
104	742	6325
105	748	6310
106	754	6293
107	759	6276
108	767	6275
109	773	6259
110	779	6240
111	787	6245
112	794	6236
113	803	6242
114	810	6235
115	817	6231
116	824	6221
117	831	6212
118	837	6202
119	843	6186
120	850	6180
121	856	6166
122	863	6159
123	870	6151
124	881	6170
125	887	6156
126	894	6147
127	902	6146
128	908	6132
129	916	6132
130	922	6118
131	929	6113
132	935	6099
133	941	6084
134	949	6080
135	954	6066
136	962	6065
137	968	6047
138	975	6040
139	982	6034
140	988	6020
141	998	6033
142	1004	6021
143	1012	6020
144	1018	6004
145	1025	6000
146	1033	5997
147	1040	5987
148	1047	5979
149	1052	5966
150	1058	5953
151	1066	5947
152	1072	5935
153	1079	5931
154	1086	5920
155	1091	5905
156	1099	5904
157	1105	5889
158	1120	5929
159	1129	5931
160	1135	5917
161	1143	5915
162	1148	5899
163	1154	5886
164	1163	5888
165	1170	5880
166	1180	5886
167	1187	5880
168	1197	5887
169	1204	5879
170	1214	5885
171	1222	5887
172	1231	5887
173	1239	5882
174	1249	5890
175	1255	5878
176	1266	5887
177	1272	5876
178	1281	5878
179	1287	5864
180	1296	5865
181	1302	5852
182	1312	5858
183	1318	5845
184	1326	5844
185	1333	5835
186	1342	5838
187	1350	5833
188	1362	5847
189	1375	5863
190	1386	5872
191	1400	5893
192	1412	5907
193	1424	5918
194	1435	5925
195	1446	5934
196	1462	5959
197	1474	5973
198	1482	5968
199	1492	5971
200	1499	5961
201	1515	5986
202	1526	5991
203	1532	5977
204	1540	5974
205	1547	5964
206	1555	5959
207	1561	5945
208	1569	5941
209	1576	5932
210	1583	5919
211	1590	5911
212	1596	5898
213	1605	5896
214	1611	5884
215	1617	5870
216	1623	5857
217	1629	5845
218	1637	5838
219	1698	6020
220	1722	6070
221	1731	6069
222	1761	6138
223	1771	6136
224	1778	6127
225	1789	6127
226	1797	6120
227	1809	6125
228	1819	6125
229	1826	6114
230	1833	6104
231	1841	6094
232	1846	6078
233	1855	6073
234	1860	6057
235	1868	6049
236	1880	6053
237	1889	6049
238	1897	6040
239	1915	6067
240	1921	6053
241	1926	6035
242	1936	6031
243	1943	6020
244	1953	6020
245	1961	6011
246	1970	6006
247	1977	5996
248	1986	5990
249	1993	5981
250	2003	5977
251	2008	5962
252	2017	5955
253	2023	5944
254	2032	5937
255	2038	5925
256	2044	5911
257	2053	5905
258	2059	5891
259	2067	5885
260	2073	5871
261	2081	5863
262	2088	5853
263	2093	5837
264	2104	5835
265	2110	5825
266	2119	5819
267	2126	5806
268	2133	5798
269	2139	5784
270	2147	5777
271	2153	5763
272	2159	5750
273	2166	5740
274	2174	5731
275	2181	5723
276	2189	5714
277	2197	5707
278	2204	5695
279	2209	5681
280	2217	5672
281	2222	5658
282	2230	5652
283	2237	5641
284	2245	5634
285	2253	5626
286	2261	5617
287	2272	5618
288	2283	5616
289	2291	5609
290	2305	5616
291	2315	5614
292	2323	5605
293	2330	5596
294	2336	5584
295	2346	5580
296	2352	5568
